# Intent Classification Training Data
# Format: intent|örnek_cümle
# Kategoriler: motor, fren, elektrik, klima, sanziman, lastik, suspansiyon, egzoz, bakim, selamlama, kapsam_disi

# ==================== MOTOR SORUNLARI ====================
egzoz|Spor egzoz takma
egzoz|Egzoz sesi artırma
egzoz|Aktif egzoz sistemi
egzoz|Egzoz flap valfi
egzoz|Egzoz ucu değişimi
egzoz|Egzoz ucu çeşitleri
egzoz|Çift çıkış egzoz
egzoz|Egzoz paslanmaz çelik mi
egzoz|Titanyum egzoz avantajları
egzoz|Egzoz kaplaması
egzoz|Egzoz ısı bandı
egzoz|Egzoz heat wrap
egzoz|Downpipe nedir
egzoz|Turbo back egzoz
egzoz|Cat back egzoz
egzoz|Axle back egzoz
egzoz|Egzoz header değişimi
egzoz|Uzun header kısa header
egzoz|Egzoz sistemi güç artışı
egzoz|Egzoz değişimi muayeneden geçer mi
egzoz|Egzoz sesi ceza kesilir mi
egzoz|Egzoz modifikasyon cezası
egzoz|Egzoz onarım kaynağı
egzoz|Egzoz kaynak yapılır mı
egzoz|Egzoz macunu kullanımı
egzoz|Egzoz kelepçesi değişimi
egzoz|Egzoz askı lastiği
egzoz|Egzoz titreşim sorunu
egzoz|Egzoz rezonans sesi
egzoz|Egzoz drone sesi nasıl giderilir
egzoz|Egzoz sistemi garanti kapsamında mı
egzoz|Egzoz ustası tavsiye
egzoz|Egzoz tamiri fiyatı
egzoz|Komple egzoz değişimi maliyeti
egzoz|Araç egzoz muayenesi
egzoz|Egzoz gazı km başına
egzoz|Egzoz gazı çevreye etkisi
egzoz|Euro 6 emisyon standardı
egzoz|Euro 7 ne zaman gelecek

# ==================== BAKIM VE GENEL ====================
bakim|Araç bakımı nasıl yapılır
bakim|Periyodik bakım nedir
bakim|10.000 km bakımı neler yapılır
bakim|30.000 km bakımı neler yapılır
bakim|60.000 km bakımı neler yapılır
bakim|Yağ ve filtre değişimi ne kadar
bakim|Motor yağı çeşitleri
bakim|5W30 mu 5W40 mı
bakim|Sentetik yağ mı mineral yağ mı
bakim|Yağ markası tavsiyesi
bakim|Yağ değişimi ne zaman yapılır
bakim|Yağ değişim aralığı
